"type","environment","flow","state","ownerId","created","modified"
"Default","Corporacion Peruana de Productos Quimicos S.A. (default)","ODATA","Started","e30bfe21-47a8-4828-865f-ee443b578d2e","2025-07-17","2025-09-04"
"Default","Corporacion Peruana de Productos Quimicos S.A. (default)","ODATA2","Started","e30bfe21-47a8-4828-865f-ee443b578d2e","2025-07-21","2025-09-04"
"Default","Corporacion Peruana de Productos Quimicos S.A. (default)","OLT - Discusión de temas 1","Stopped","da2df52d-24d1-48e2-b7d8-9de7bd973f93","2025-01-07","2025-01-07"
"Default","Corporacion Peruana de Productos Quimicos S.A. (default)","OLT - Discusión de temas 2","Stopped","da2df52d-24d1-48e2-b7d8-9de7bd973f93","2025-01-07","2025-01-07"
"Default","Corporacion Peruana de Productos Quimicos S.A. (default)","OLT - Discusión de temas 3","Stopped","da2df52d-24d1-48e2-b7d8-9de7bd973f93","2025-01-07","2025-01-07"
"Default","Corporacion Peruana de Productos Quimicos S.A. (default)","OLT - Discusión de temas 4","Stopped","da2df52d-24d1-48e2-b7d8-9de7bd973f93","2025-01-07","2025-01-07"
"Default","Corporacion Peruana de Productos Quimicos S.A. (default)","OLT - Discusión de temas 5","Stopped","da2df52d-24d1-48e2-b7d8-9de7bd973f93","2025-01-07","2025-01-07"
"Default","Corporacion Peruana de Productos Quimicos S.A. (default)","OLT - Discusión de temas 6","Stopped","da2df52d-24d1-48e2-b7d8-9de7bd973f93","2025-01-07","2025-01-07"
"Default","Corporacion Peruana de Productos Quimicos S.A. (default)","OLT - Discusión de temas 7","Stopped","da2df52d-24d1-48e2-b7d8-9de7bd973f93","2025-01-07","2025-01-07"
"Default","Corporacion Peruana de Productos Quimicos S.A. (default)","OLT - Discusión de temas 8","Stopped","da2df52d-24d1-48e2-b7d8-9de7bd973f93","2025-01-07","2025-01-07"
"Default","Corporacion Peruana de Productos Quimicos S.A. (default)","OLT MENSUAL 1","Stopped","da2df52d-24d1-48e2-b7d8-9de7bd973f93","2024-11-28","2025-01-07"
"Default","Corporacion Peruana de Productos Quimicos S.A. (default)","OLT MENSUAL 2","Stopped","da2df52d-24d1-48e2-b7d8-9de7bd973f93","2025-01-07","2025-01-08"
